State,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
United States,67521.00,68703.00,63179.00,61136.00,59039.00,56516.00,53657.00,53585.00,51017.00,50054.00,49276.00,49777.00,50303.00,50233.00,48201.00,46326.00,44334.00,43318.00,42409.00,42228.00,41990.00
Alabama,54393.00,56200.00,49936.00,50865.00,47221.00,44509.00,42278.00,47320.00,43464.00,42590.00,40933.00,39980.00,44476.00,42212.00,37952.00,37150.00,36629.00,37255.00,37603.00,35160.00,35424.00
Alaska,74476.00,78394.00,68734.00,77987.00,75723.00,75112.00,67629.00,72472.00,63648.00,57431.00,57848.00,61604.00,63989.00,62993.00,56418.00,55891.00,55063.00,51837.00,52774.00,57363.00,52847.00
Arizona,66628.00,70674.00,62283.00,59700.00,57100.00,52248.00,49254.00,52611.00,47044.00,48621.00,46896.00,45739.00,46914.00,47215.00,46657.00,45245.00,43846.00,41166.00,39734.00,42704.00,39783.00
Arkansas,50540.00,54539.00,49781.00,49751.00,45907.00,42798.00,44922.00,39376.00,39018.00,41302.00,38587.00,36538.00,39586.00,40795.00,37057.00,36658.00,34984.00,32002.00,32387.00,33339.00,29697.00
California,77358.00,78105.00,70489.00,70038.00,66637.00,63636.00,60487.00,60794.00,57020.00,53367.00,54283.00,56134.00,57014.00,55734.00,55319.00,51755.00,49222.00,49300.00,47437.00,47262.00,46816.00
Colorado,82611.00,72499.00,73034.00,74984.00,70566.00,66596.00,60940.00,67912.00,57255.00,58629.00,60233.00,55930.00,60943.00,61141.00,55697.00,50449.00,50886.00,49940.00,48294.00,49397.00,48240.00
Connecticut,79043.00,87291.00,72812.00,74304.00,75923.00,72889.00,70161.00,69291.00,64247.00,65415.00,65998.00,64851.00,64682.00,64141.00,62404.00,56835.00,55100.00,54965.00,53387.00,53347.00,50172.00
Delaware,69132.00,74194.00,65012.00,64961.00,58046.00,57756.00,57522.00,54091.00,48972.00,54660.00,55214.00,52114.00,50702.00,54589.00,52438.00,51235.00,48049.00,49019.00,49650.00,49602.00,50365.00
District of Columbia,88311.00,93111.00,85750.00,81282.00,70982.00,70071.00,68277.00,60057.00,65246.00,55251.00,56928.00,53141.00,55590.00,50783.00,48477.00,44993.00,43451.00,45044.00,39070.00,41169.00,41222.00
Florida,57435.00,58368.00,54644.00,53086.00,51176.00,48825.00,46140.00,48532.00,46071.00,45105.00,44066.00,45631.00,44857.00,45794.00,45676.00,42990.00,40535.00,38972.00,38024.00,36421.00,38856.00
Georgia,58952.00,56628.00,55821.00,57985.00,53527.00,50768.00,49555.00,46992.00,48121.00,45973.00,44117.00,43340.00,46227.00,48641.00,49344.00,45926.00,40984.00,42438.00,42939.00,42576.00,41901.00
Hawaii,80729.00,88006.00,80108.00,73599.00,72133.00,64514.00,71223.00,64235.00,56263.00,59047.00,59539.00,55649.00,61521.00,64022.00,60470.00,59586.00,56242.00,51834.00,47303.00,47439.00,51546.00
Idaho,66499.00,65988.00,58728.00,59497.00,56564.00,51624.00,53438.00,48467.00,47922.00,47459.00,47050.00,46778.00,47420.00,49184.00,46213.00,44176.00,44358.00,42372.00,37715.00,38241.00,37611.00
Illinois,73753.00,74399.00,70145.00,65969.00,61386.00,60413.00,54916.00,53937.00,51738.00,50637.00,50728.00,52870.00,53254.00,52506.00,48671.00,48398.00,46077.00,45153.00,42710.00,46171.00,46064.00
Indiana,66360.00,66693.00,59892.00,58767.00,56094.00,51983.00,48060.00,49455.00,46158.00,44445.00,46139.00,44305.00,46520.00,47453.00,45407.00,42437.00,42329.00,42425.00,41047.00,40379.00,40865.00
Iowa,68469.00,66054.00,68718.00,63467.00,59094.00,60855.00,57810.00,60156.00,53442.00,50219.00,49016.00,50721.00,50142.00,48908.00,48126.00,46500.00,43391.00,41384.00,41049.00,40976.00,40991.00
Kansas,72815.00,73151.00,63938.00,56900.00,56810.00,54865.00,53444.00,47820.00,50003.00,46147.00,46054.00,44717.00,47877.00,48497.00,45552.00,42027.00,41066.00,44232.00,42619.00,41415.00,41059.00
Kentucky,56525.00,55662.00,54555.00,49672.00,45369.00,42387.00,42786.00,44879.00,41086.00,39856.00,41104.00,42664.00,41148.00,39452.00,39485.00,36699.00,35610.00,36936.00,36762.00,38437.00,36265.00
Louisiana,50935.00,51707.00,49973.00,43565.00,42196.00,45922.00,42406.00,46425.00,39085.00,40658.00,39300.00,45433.00,39563.00,41313.00,36488.00,37236.00,36429.00,33507.00,34008.00,33322.00,30718.00
Maine,63440.00,66546.00,58663.00,53316.00,50856.00,50756.00,51710.00,54957.00,49158.00,49693.00,47931.00,47502.00,47228.00,47894.00,45642.00,43923.00,41329.00,37113.00,36853.00,36612.00,37266.00
Maryland,94384.00,95572.00,86223.00,82093.00,73760.00,73594.00,76165.00,69353.00,71836.00,68876.00,64201.00,64186.00,63711.00,65630.00,63668.00,60512.00,57103.00,52314.00,56407.00,53530.00,54535.00
Massachusetts,86725.00,87707.00,86345.00,76243.00,72266.00,67861.00,63151.00,62529.00,63656.00,63313.00,60934.00,59373.00,60320.00,58463.00,55330.00,56017.00,52019.00,50955.00,49855.00,52253.00,46753.00
Michigan,63829.00,64119.00,60449.00,56405.00,57091.00,54203.00,52005.00,56567.00,50015.00,48879.00,46276.00,45994.00,49788.00,49370.00,48647.00,45933.00,42256.00,45022.00,42715.00,45047.00,45512.00
Minnesota,78461.00,81426.00,71817.00,69975.00,70218.00,68730.00,67244.00,64324.00,61795.00,57820.00,52321.00,56090.00,54925.00,58058.00,56211.00,54215.00,56104.00,52823.00,54622.00,52681.00,54251.00
Mississippi,44966.00,44787.00,42781.00,43281.00,41099.00,40037.00,35521.00,32338.00,36641.00,41090.00,38160.00,35078.00,36446.00,37279.00,34733.00,32875.00,34755.00,32728.00,30882.00,30161.00,34299.00
Missouri,61901.00,60597.00,61726.00,56530.00,55016.00,59196.00,56630.00,46303.00,49764.00,45774.00,45817.00,48769.00,46038.00,46005.00,44579.00,42986.00,42137.00,43762.00,42776.00,41339.00,45097.00
Montana,56442.00,60195.00,57679.00,57407.00,57075.00,51395.00,51102.00,43201.00,45088.00,40277.00,41280.00,40437.00,42900.00,43655.00,41105.00,37313.00,33956.00,34108.00,34835.00,32126.00,32777.00
Nebraska,72024.00,73071.00,67575.00,59583.00,59374.00,60474.00,56870.00,57623.00,52196.00,55616.00,52504.00,49595.00,50728.00,49174.00,48145.00,47923.00,43786.00,43974.00,42796.00,43611.00,41750.00
Nevada,60956.00,70906.00,61864.00,58041.00,55431.00,52008.00,49875.00,51846.00,47333.00,47043.00,51200.00,51434.00,54744.00,54058.00,52282.00,48209.00,47204.00,45184.00,44958.00,45403.00,45758.00
New Hampshire,88235.00,86900.00,81346.00,75630.00,76260.00,75675.00,73397.00,69099.00,67819.00,65880.00,66633.00,64131.00,66176.00,67576.00,61970.00,56984.00,56815.00,55567.00,55321.00,51331.00,50926.00
New Jersey,85239.00,87726.00,74176.00,71240.00,68468.00,68357.00,65243.00,63754.00,66692.00,62338.00,62968.00,64777.00,65306.00,60508.00,68059.00,63368.00,55275.00,56045.00,54568.00,51771.00,50405.00
New Mexico,50822.00,53113.00,48283.00,45601.00,48451.00,45119.00,46686.00,40166.00,43424.00,41982.00,45134.00,43542.00,42102.00,44356.00,40028.00,38947.00,39562.00,35105.00,35457.00,33124.00,35093.00
New York,68304.00,71855.00,67274.00,61543.00,61437.00,58005.00,54310.00,49966.00,47680.00,50636.00,49781.00,50216.00,50461.00,48944.00,48222.00,47176.00,44649.00,42788.00,41966.00,42114.00,40744.00
North Carolina,60266.00,61159.00,53369.00,49547.00,53764.00,50797.00,46784.00,46337.00,41553.00,45206.00,43830.00,41906.00,42930.00,43513.00,39797.00,42056.00,40238.00,37279.00,36515.00,38162.00,38317.00
North Dakota,63657.00,70031.00,66505.00,60167.00,60184.00,57415.00,60730.00,59152.00,55766.00,56361.00,51006.00,50075.00,49631.00,47205.00,41047.00,42192.00,39220.00,40410.00,36200.00,35793.00,35996.00
Ohio,60110.00,64663.00,61633.00,60688.00,53985.00,53301.00,49644.00,50748.00,44375.00,44648.00,45886.00,45879.00,46934.00,49099.00,45900.00,44203.00,43055.00,43520.00,42684.00,41785.00,42962.00
Oklahoma,52341.00,59397.00,54434.00,51882.00,50943.00,47077.00,47199.00,46162.00,48407.00,48455.00,43103.00,45878.00,46111.00,43216.00,38838.00,37645.00,39614.00,35902.00,36458.00,35609.00,32432.00
Oregon,76554.00,74413.00,69165.00,62498.00,59135.00,60834.00,58875.00,48999.00,51775.00,51526.00,50602.00,49098.00,51727.00,50236.00,47091.00,44159.00,40994.00,41638.00,41802.00,41273.00,42499.00
Pennsylvania,70117.00,70582.00,64524.00,61285.00,60979.00,60389.00,55173.00,55156.00,51904.00,49910.00,48314.00,48172.00,51402.00,48437.00,48477.00,46300.00,44106.00,42933.00,42498.00,43499.00,42176.00
Rhode Island,80012.00,70151.00,62266.00,65401.00,61528.00,55701.00,58633.00,56323.00,56065.00,49033.00,51623.00,51634.00,53241.00,54210.00,53736.00,49484.00,47935.00,44711.00,42417.00,45723.00,42197.00
South Carolina,60097.00,62028.00,57444.00,54537.00,54336.00,46360.00,44929.00,43563.00,44401.00,40084.00,41698.00,41101.00,42155.00,44213.00,39617.00,40230.00,38691.00,38479.00,37812.00,37736.00,37570.00
South Dakota,69787.00,64255.00,59463.00,56914.00,57450.00,55065.00,53053.00,53413.00,49415.00,47223.00,45352.00,45826.00,51600.00,46418.00,45427.00,43151.00,41107.00,39522.00,37873.00,39671.00,36475.00
Tennessee,54665.00,56627.00,56060.00,55306.00,51344.00,47330.00,43716.00,43361.00,42995.00,42279.00,38591.00,40517.00,39702.00,41195.00,40693.00,39406.00,38072.00,37523.00,37030.00,35783.00,34096.00
Texas,68093.00,67444.00,59785.00,60092.00,58146.00,56473.00,53875.00,51406.00,51926.00,49047.00,47266.00,47475.00,46490.00,46053.00,43307.00,41422.00,41397.00,39271.00,40149.00,40860.00,38609.00
Utah,83670.00,84523.00,77067.00,69789.00,67481.00,66258.00,63383.00,61047.00,58341.00,55493.00,56701.00,58491.00,62537.00,53529.00,54628.00,54813.00,50871.00,49275.00,47861.00,47342.00,47550.00
Vermont,66902.00,74305.00,70066.00,63682.00,60837.00,59494.00,60708.00,65513.00,55582.00,51862.00,55928.00,52318.00,50706.00,47390.00,51981.00,50704.00,47329.00,43261.00,42999.00,40794.00,39594.00
Virginia,81947.00,81313.00,77151.00,70811.00,66451.00,61486.00,66155.00,65907.00,64632.00,62616.00,60367.00,60501.00,61985.00,59161.00,57119.00,51914.00,51141.00,54783.00,49631.00,50241.00,47163.00
Washington,81083.00,82454.00,79726.00,71540.00,70310.00,67243.00,59068.00,63922.00,62187.00,56850.00,56163.00,60392.00,56631.00,58080.00,54723.00,50646.00,49922.00,47508.00,45183.00,42490.00,42525.00
West Virginia,51615.00,53706.00,50573.00,46957.00,44354.00,42824.00,39552.00,43069.00,43553.00,41821.00,42777.00,40490.00,37994.00,42091.00,38419.00,36445.00,33373.00,32763.00,29359.00,29673.00,29411.00
Wisconsin,67094.00,67355.00,62629.00,63482.00,59817.00,55425.00,58080.00,51726.00,53079.00,52058.00,50351.00,51237.00,51200.00,51277.00,51692.00,44650.00,45732.00,46269.00,45903.00,45346.00,45088.00
Wyoming,65108.00,65134.00,62539.00,59536.00,57829.00,60925.00,55690.00,67441.00,57512.00,54509.00,52201.00,52470.00,53337.00,48744.00,47041.00,44718.00,45397.00,42555.00,39763.00,39719.00,39629.00